itemCollection_Mechs_SLDF,,,
mechdef_atlas_AS7-D-HT,Mech,1,1
mechdef_griffin_GRF-4N,Mech,1,3
mechdef_highlander_HGN-732b,Mech,1,1
mechdef_blackknight_BL-6b-KNT,Mech,1,1
mechdef_cyclops_CP-10-Z,Mech,1,1
mechdef_zeus_ZEU-5S,Mech,1,2
mechdef_atlas_AS7-D-DC,Mech,1,1
mechdef_battlemaster_BLR-1G-DC,Mech,1,1
mechdef_wolverine_WVR-7H,Mech,1,3
mechdef_kintaro_KTO-19,Mech,1,2
mechdef_battlemaster_BLR-1Gb,Mech,1,1
mechdef_kingcrab_KGC-000b,Mech,1,1
mechdef_catapult_CPLT-C1b,Mech,1,2
mechdef_thunderbolt_TDR-5Sb,Mech,1,2
mechdef_stalker_STK-3Fb,Mech,1,1
