itemCollection_MechParts_rare,,,
mechdef_cicada_CDA-2A,MechPart,1,4
mechdef_cicada_CDA-3C,MechPart,1,4
mechdef_kintaro_KTO-18,MechPart,1,8
mechdef_blackknight_BL-6-KNT,MechPart,1,6
mechdef_zeus_ZEU-6S,MechPart,1,4
mechdef_zeus_ZEU-6T,MechPart,1,4
mechdef_highlander_HGN-732b,MechPart,1,4
mechdef_kingcrab_KGC-0000,MechPart,1,4
mechdef_banshee_BNC-3S,MechPart,1,6
mechdef_banshee_BNC-3Q,MechPart,1,4
mechdef_wolverine_WVR-7H,MechPart,1,4
mechdef_zeus_ZEU-5S,MechPart,1,4
mechdef_atlas_AS7-D-DC,MechPart,1,1
mechdef_atlas_AS7-RS,MechPart,1,2
mechdef_battlemaster_BLR-1G-DC,MechPart,1,1
mechdef_blackknight_BL-7-KNT-L,MechPart,1,2
mechdef_cataphract_CTF-2X,MechPart,1,1
mechdef_cataphract_CTF-4X,Mech,1,1
mechdef_catapult_CPLT-A1,MechPart,1,2
mechdef_catapult_CPLT-C4,MechPart,1,2
mechdef_cicada_CDA-2B,MechPart,1,3
mechdef_granddragon_DRG-1G,MechPart,1,2
mechdef_highlander_HGN-733C,MechPart,1,6
mechdef_orion_ON1-V-DC,MechPart,1,4
mechdef_shadowhawk_SHD-2Hb,MechPart,1,2
mechdef_spider_SDR-5D,MechPart,1,4
mechdef_spider_SDR-5K,MechPart,1,4
mechdef_wolverine_WVR-6M,MechPart,1,6
mechdef_zeus_ZEU-6S-DC,MechPart,1,4
mechdef_zeus_ZEU-6Y,MechPart,1,4
mechdef_atlas_AS7-D,MechPart,1,4
mechdef_atlas_AS7-D-HT,MechPart,1,1
mechdef_awesome_AWS-8Q,MechPart,1,6
mechdef_awesome_AWS-8T,MechPart,1,4
mechdef_banshee_BNC-3E,MechPart,1,2
mechdef_banshee_BNC-3M,MechPart,1,4
mechdef_battlemaster_BLR-1G,MechPart,1,4
mechdef_blackknight_BL-6b-KNT,MechPart,1,2
mechdef_cataphract_CTF-1X,MechPart,1,1
mechdef_catapult_CPLT-C1,MechPart,1,4
mechdef_catapult_CPLT-K2,MechPart,1,2
mechdef_griffin_GRF-4N,MechPart,1,2
mechdef_highlander_HGN-733,MechPart,1,6
mechdef_highlander_HGN-733P,MechPart,1,6
mechdef_stalker_STK-3F,MechPart,1,6
